support,itemsets
0.41714285714285715,"['S9', 'S18']"
0.4014285714285714,"['S9', 'S21']"
0.44,"['S22', 'S9']"
0.4057142857142857,"['S9', 'S23']"
0.41714285714285715,"['S9', 'S24']"
0.42857142857142855,"['S25', 'S9']"
0.40714285714285714,"['S28', 'S9']"
0.38285714285714284,"['S31', 'S9']"
0.3985714285714286,"['S9', 'S32']"
0.39,"['S9', 'S33']"
0.3414285714285714,"['S34', 'S9']"
0.35714285714285715,"['S35', 'S9']"
0.39714285714285713,"['S36', 'S9']"
0.4042857142857143,"['S9', 'S37']"
0.39714285714285713,"['S9', 'S38']"
0.45,"['S39', 'S9']"
0.4228571428571429,"['S9', 'S40']"
0.4185714285714286,"['S9', 'S41']"
0.45285714285714285,"['S42', 'S9']"
0.40714285714285714,"['S9', 'S43']"
0.3914285714285714,"['S44', 'S9']"
0.38571428571428573,"['S45', 'S9']"
0.42142857142857143,"['S9', 'S46']"
0.44,"['S47', 'S9']"
0.41,"['S9', 'S48']"
0.43,"['S9', 'S49']"
0.43142857142857144,"['S50', 'S9']"
0.39,"['S9', 'S51']"
0.41714285714285715,"['S52', 'S9']"
0.40714285714285714,"['S53', 'S9']"
0.40285714285714286,"['S54', 'S9']"
0.41,"['S9', 'S55']"
0.42,"['S56', 'S9']"
0.4257142857142857,"['S57', 'S9']"
0.44,"['S58', 'S9']"
0.34714285714285714,"['S59', 'S9']"
0.4228571428571429,"['S11', 'S10']"
0.43,"['S12', 'S10']"
0.43,"['S13', 'S10']"
0.4085714285714286,"['S14', 'S10']"
0.38857142857142857,"['S15', 'S10']"
0.3,"['S10', 'S16']"
0.4328571428571429,"['S17', 'S10']"
0.42,"['S18', 'S10']"
0.4157142857142857,"['S10', 'S21']"
0.44142857142857145,"['S22', 'S10']"
0.4042857142857143,"['S23', 'S10']"
0.4057142857142857,"['S24', 'S10']"
0.41285714285714287,"['S25', 'S10']"
0.3314285714285714,"['S10', 'S26']"
0.4042857142857143,"['S28', 'S10']"
0.3985714285714286,"['S31', 'S10']"
0.39285714285714285,"['S10', 'S32']"
